# k, ph, pmodZA, pxmodZA, pmodPM, pxmodPM, pmodE, pxmodE, pmodE1, pxmodE1
2.42286e-01 8.86088e+02 8.24750e+02 8.52333e+02 7.72946e+02 8.18886e+02 4.20145e+02 5.72977e+02 3.43862e+02 5.19287e+02
2.48410e-01 8.75044e+02 8.09949e+02 8.39336e+02 7.53736e+02 8.03486e+02 3.95082e+02 5.50569e+02 3.21264e+02 4.97489e+02
2.54544e-01 8.31060e+02 7.67269e+02 7.96004e+02 7.13483e+02 7.61016e+02 3.62754e+02 5.11533e+02 2.93419e+02 4.61076e+02
2.60692e-01 7.84927e+02 7.23748e+02 7.51198e+02 6.69126e+02 7.15828e+02 3.29119e+02 4.71772e+02 2.65724e+02 4.25090e+02
2.66858e-01 7.51362e+02 6.89749e+02 7.17348e+02 6.33010e+02 6.80486e+02 2.99684e+02 4.37621e+02 2.39894e+02 3.92770e+02
2.73002e-01 7.25261e+02 6.65958e+02 6.92484e+02 6.07393e+02 6.54567e+02 2.75855e+02 4.11332e+02 2.20654e+02 3.69168e+02
2.79139e-01 6.95729e+02 6.35367e+02 6.62370e+02 5.77140e+02 6.24501e+02 2.53716e+02 3.85146e+02 2.01495e+02 3.44497e+02
2.85242e-01 6.57116e+02 5.98742e+02 6.24756e+02 5.39651e+02 5.86328e+02 2.29919e+02 3.53932e+02 1.81089e+02 3.15442e+02
2.91353e-01 6.29200e+02 5.71482e+02 5.97165e+02 5.13716e+02 5.59344e+02 2.10908e+02 3.30098e+02 1.65932e+02 2.93992e+02
2.97514e-01 5.96819e+02 5.39761e+02 5.65099e+02 4.83353e+02 5.27829e+02 1.91616e+02 3.04792e+02 1.49482e+02 2.70401e+02
3.03654e-01 5.82683e+02 5.26073e+02 5.51150e+02 4.66593e+02 5.12144e+02 1.75959e+02 2.87740e+02 1.36763e+02 2.54721e+02
3.09788e-01 5.51772e+02 4.96685e+02 5.21065e+02 4.37023e+02 4.81677e+02 1.58336e+02 2.63013e+02 1.22277e+02 2.32148e+02
3.15949e-01 5.38465e+02 4.83348e+02 5.07695e+02 4.22784e+02 4.67648e+02 1.46988e+02 2.49521e+02 1.13031e+02 2.19894e+02
3.22107e-01 5.14362e+02 4.60175e+02 4.84049e+02 4.00924e+02 4.44635e+02 1.33546e+02 2.31120e+02 1.02140e+02 2.03190e+02
3.28257e-01 4.96154e+02 4.43573e+02 4.66666e+02 3.84534e+02 4.27363e+02 1.23321e+02 2.17255e+02 9.37437e+01 1.90655e+02
3.34354e-01 4.83145e+02 4.29449e+02 4.53038e+02 3.68970e+02 4.12566e+02 1.12830e+02 2.03756e+02 8.54762e+01 1.78512e+02
3.40481e-01 4.62656e+02 4.09885e+02 4.33015e+02 3.49440e+02 3.92557e+02 1.02441e+02 1.88756e+02 7.70850e+01 1.64892e+02
3.46626e-01 4.41380e+02 3.90700e+02 4.12822e+02 3.31686e+02 3.73018e+02 9.30771e+01 1.74876e+02 6.94888e+01 1.52276e+02
3.52731e-01 4.27369e+02 3.75862e+02 3.98307e+02 3.15969e+02 3.57872e+02 8.42195e+01 1.62422e+02 6.24525e+01 1.40914e+02
3.58870e-01 4.09376e+02 3.59334e+02 3.81035e+02 3.00966e+02 3.41380e+02 7.71582e+01 1.51392e+02 5.69184e+01 1.31185e+02
3.65008e-01 3.90164e+02 3.41384e+02 3.62460e+02 2.84213e+02 3.23524e+02 6.95575e+01 1.39450e+02 5.10282e+01 1.20501e+02
3.71170e-01 3.85771e+02 3.36698e+02 3.57942e+02 2.78826e+02 3.18417e+02 6.46289e+01 1.33659e+02 4.71691e+01 1.15263e+02
3.77314e-01 3.68226e+02 3.19533e+02 3.40503e+02 2.60608e+02 3.00200e+02 5.73138e+01 1.21285e+02 4.15356e+01 1.04238e+02
3.83420e-01 3.54434e+02 3.06870e+02 3.27309e+02 2.49982e+02 2.88225e+02 5.27983e+01 1.13513e+02 3.79026e+01 9.72616e+01
3.89581e-01 3.43278e+02 2.95777e+02 3.16116e+02 2.39257e+02 2.77060e+02 4.76700e+01 1.05468e+02 3.40005e+01 9.01536e+01
3.95725e-01 3.34305e+02 2.87144e+02 3.07308e+02 2.30580e+02 2.68232e+02 4.36970e+01 9.94452e+01 3.09889e+01 8.47287e+01
4.01864e-01 3.23020e+02 2.76243e+02 2.96171e+02 2.19968e+02 2.57006e+02 3.98508e+01 9.27733e+01 2.80575e+01 7.87846e+01
4.07999e-01 3.10991e+02 2.65259e+02 2.84667e+02 2.09066e+02 2.45417e+02 3.56887e+01 8.52360e+01 2.50023e+01 7.23055e+01
4.14107e-01 2.96955e+02 2.52114e+02 2.71041e+02 1.98375e+02 2.33140e+02 3.23258e+01 7.87220e+01 2.23967e+01 6.64900e+01
4.20258e-01 2.87531e+02 2.43552e+02 2.62049e+02 1.90609e+02 2.24552e+02 2.92633e+01 7.31249e+01 2.01548e+01 6.15478e+01
4.26407e-01 2.80071e+02 2.35953e+02 2.54480e+02 1.82885e+02 2.16859e+02 2.67520e+01 6.84674e+01 1.82523e+01 5.74519e+01
4.32525e-01 2.65239e+02 2.22669e+02 2.40401e+02 1.71753e+02 2.03936e+02 2.37708e+01 6.22388e+01 1.60916e+01 5.20463e+01
4.38640e-01 2.59030e+02 2.16180e+02 2.34004e+02 1.65904e+02 1.97911e+02 2.17318e+01 5.87235e+01 1.46058e+01 4.89775e+01
4.44768e-01 2.47839e+02 2.06204e+02 2.23412e+02 1.57353e+02 1.87995e+02 1.96691e+01 5.40272e+01 1.31206e+01 4.49669e+01
4.50944e-01 2.43244e+02 2.01449e+02 2.18681e+02 1.52013e+02 1.82939e+02 1.77710e+01 5.06412e+01 1.17600e+01 4.19729e+01
4.57104e-01 2.34177e+02 1.93258e+02 2.10057e+02 1.45155e+02 1.75090e+02 1.60769e+01 4.69020e+01 1.05521e+01 3.87553e+01
4.63239e-01 2.26644e+02 1.86122e+02 2.02676e+02 1.39043e+02 1.68245e+02 1.45388e+01 4.36104e+01 9.44001e+00 3.58218e+01
4.69379e-01 2.19724e+02 1.79749e+02 1.95966e+02 1.32334e+02 1.61190e+02 1.29206e+01 3.98519e+01 8.33130e+00 3.26797e+01
4.75501e-01 2.12524e+02 1.73165e+02 1.89073e+02 1.27487e+02 1.55355e+02 1.17621e+01 3.73222e+01 7.47760e+00 3.04167e+01
4.81615e-01 2.05335e+02 1.66565e+02 1.82147e+02 1.21630e+02 1.48819e+02 1.06133e+01 3.46676e+01 6.70943e+00 2.82148e+01
4.87745e-01 1.97815e+02 1.59720e+02 1.74918e+02 1.15947e+02 1.42207e+02 9.51645e+00 3.19487e+01 5.95614e+00 2.58990e+01
4.93864e-01 1.92132e+02 1.54640e+02 1.69505e+02 1.11197e+02 1.36988e+02 8.60335e+00 2.95960e+01 5.33476e+00 2.39236e+01
4.99999e-01 1.84079e+02 1.47366e+02 1.61818e+02 1.05583e+02 1.30189e+02 7.66922e+00 2.70293e+01 4.69161e+00 2.16896e+01
5.06174e-01 1.78836e+02 1.42344e+02 1.56613e+02 1.01563e+02 1.25637e+02 6.94005e+00 2.51579e+01 4.21357e+00 2.01553e+01
5.12318e-01 1.72736e+02 1.36862e+02 1.50785e+02 9.68105e+01 1.20084e+02 6.23025e+00 2.31510e+01 3.74128e+00 1.84909e+01
5.18442e-01 1.67287e+02 1.31388e+02 1.45245e+02 9.24812e+01 1.15211e+02 5.62274e+00 2.14798e+01 3.34163e+00 1.70840e+01
