# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 1.081273568650850935e-05 3.166443990384615608e+04 1.048979417067307850e+03 1.039727385384518057e-11 1.583738581730769329e+04 3.166443990384615608e+04 3.166443990384615608e+04 1.048979417067307850e+03 1.048979417067307850e+03
1.503254434404273886e-02 8.309680399381451948e-06 2.411289756944444161e+04 7.999781901041666288e+02 6.688330445037138361e-12 1.286450000000000000e+04 2.411289756944444161e+04 2.411289756944444161e+04 7.999781901041666288e+02 7.999781901041666288e+02
2.104537904654678673e-02 1.186198680539076212e-05 2.311805427631578641e+04 7.615695415296052033e+02 8.874271200928031414e-12 1.257740625000000000e+04 2.311805427631578641e+04 2.311805427631578641e+04 7.615695415296052033e+02 7.615695415296052033e+02
2.718418752217394846e-02 -2.118854576514827182e-05 1.736164636752137085e+04 5.750043402777778283e+02 8.391350292687350544e-12 9.291579059829060498e+03 1.736164636752137085e+04 1.736164636752137085e+04 5.750043402777778283e+02 5.750043402777778283e+02
3.359305548768203725e-02 2.575450721153846189e+03 1.979568269230769511e+04 6.560812049278846416e+02 2.748420372596153811e+03 1.120564543269230853e+04 1.979568269230769511e+04 1.979568269230769511e+04 6.560812049278846416e+02 6.560812049278846416e+02
3.967812110980351720e-02 1.742488281250000000e+03 1.595317291666666642e+04 5.253522786458332803e+02 1.921665624999999864e+03 8.809635416666666060e+03 1.595317291666666642e+04 1.595317291666666642e+04 5.253522786458332803e+02 5.253522786458332803e+02
4.573133090443888549e-02 1.743663088642659204e+03 1.407315650969529088e+04 4.619481907894736992e+02 1.865488919667589926e+03 7.740554016620498260e+03 1.407315650969529088e+04 1.407315650969529088e+04 4.619481907894736992e+02 4.619481907894736992e+02
5.186912300623527233e-02 1.349745995423340901e+03 1.295331006864988558e+04 4.232872926201372934e+02 1.414905034324942790e+03 7.103853546910755540e+03 1.295331006864988558e+04 1.295331006864988558e+04 4.232872926201372934e+02 4.232872926201372934e+02
5.807971256735403043e-02 1.424498601549053319e+03 1.189996299483648909e+04 3.902746073580034363e+02 1.573715684165232460e+03 6.583965146299483422e+03 1.189996299483648909e+04 1.189996299483648909e+04 3.902746073580034363e+02 3.902746073580034363e+02
6.422094742881356844e-02 1.444938236377025078e+03 1.138430633284241594e+04 3.718615150957290325e+02 1.598768593519882188e+03 6.272233431516936434e+03 1.138430633284241594e+04 1.138430633284241594e+04 3.718615150957290325e+02 3.718615150957290325e+02
7.029194303550849454e-02 1.059533624387254804e+03 8.990158088235293690e+03 2.953780254289215463e+02 1.178918964460784309e+03 5.036273284313725526e+03 8.990158088235293690e+03 8.990158088235293690e+03 2.953780254289215463e+02 2.953780254289215463e+02
7.656976085866129544e-02 1.094173379174852471e+03 9.091929273084479064e+03 2.977732686640471229e+02 1.213327725933202373e+03 5.132205304518663979e+03 9.091929273084479064e+03 9.091929273084479064e+03 2.977732686640471229e+02 2.977732686640471229e+02
8.283279975513359317e-02 1.103898051948051943e+03 7.641761904761904589e+03 2.484969155844155750e+02 1.240351839826839750e+03 4.345875324675324919e+03 7.641761904761904589e+03 7.641761904761904589e+03 2.484969155844155750e+02 2.484969155844155750e+02
8.886264192081894109e-02 8.552753164556961565e+02 7.028919303797468274e+03 2.276525415348101262e+02 9.925231408227847396e+02 3.959310126582278372e+03 7.028919303797468274e+03 7.028919303797468274e+03 2.276525415348101262e+02 2.276525415348101262e+02
9.493524398572131262e-02 7.595710560625814196e+02 6.163104302477183410e+03 1.995971316818774426e+02 9.019165580182528856e+02 3.432065840938721976e+03 6.163104302477183410e+03 6.163104302477183410e+03 1.995971316818774426e+02 1.995971316818774426e+02
1.010510809291368245e-01 6.441367211131276918e+02 5.545301875378100704e+03 1.803885549001815036e+02 7.542028130671507142e+02 3.157042347247429007e+03 5.545301875378100704e+03 5.545301875378100704e+03 1.803885549001815036e+02 1.803885549001815036e+02
1.071918355362574127e-01 6.179880528723945190e+02 5.060448906964921662e+03 1.634269032791052325e+02 7.315149974580580192e+02 2.885660650737162996e+03 5.060448906964921662e+03 5.060448906964921662e+03 1.634269032791052325e+02 1.634269032791052325e+02
1.133640700251744293e-01 5.754692334739803528e+02 4.749401312705110286e+03 1.526461409985935518e+02 6.952621308016878174e+02 2.686132208157524929e+03 4.749401312705110286e+03 4.749401312705110286e+03 1.526461409985935518e+02 1.526461409985935518e+02
