# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 2.492197265625000000e+03 2.185057391826923322e+03 1.410237661508413680e+02 7.063440504807692832e+02 1.558943389423076951e+04 8.162955228365384528e+02 3.166444471153846462e+04 5.236007925180288680e+01 2.045722355769230944e+03
1.503254434404273886e-02 3.635911892361110858e+03 4.791347222222221717e+03 3.087204047309027715e+02 2.002058810763888687e+03 1.302271354166666606e+04 3.756506076388888687e+03 2.411289583333333212e+04 2.402131890190972001e+02 1.558744683159722172e+03
2.104537904654678673e-02 3.650533717105262895e+03 5.251871710526315837e+03 3.351101459703947398e+02 1.830279194078947285e+03 1.269775493421052488e+04 3.011543174342104976e+03 2.311805592105262986e+04 1.922070826480263008e+02 1.476179276315789366e+03
2.718418752217394846e-02 3.072180555555555657e+03 4.827216346153846644e+03 3.099787994123931867e+02 1.786765090811966047e+03 9.271368589743589837e+03 3.280135149572649880e+03 1.736164636752137085e+04 2.084931724091880483e+02 1.116892361111111313e+03
3.359305548768203725e-02 5.630914663461539021e+03 9.998212740384615245e+03 6.424794170673077360e+02 4.713699519230769511e+03 1.126339543269230853e+04 1.194561298076923231e+04 1.979568269230769511e+04 7.666581280048077360e+02 1.269777644230769283e+03
3.967812110980351720e-02 4.968128125000000182e+03 9.122641666666666424e+03 5.822989583333333030e+02 4.711990625000000364e+03 8.708346874999999272e+03 1.202257500000000073e+04 1.595317395833333285e+04 7.700640624999999773e+02 1.009806770833333303e+03
4.573133090443888549e-02 5.348540858725761609e+03 1.025531163434903101e+04 6.496535664819945168e+02 5.360086218836565422e+03 7.735010387811634246e+03 1.369924376731301891e+04 1.407315789473684163e+04 8.799400103878116397e+02 8.827436807479224399e+02
5.186912300623527233e-02 4.514304919908467127e+03 8.535436498855835453e+03 5.390365060068650109e+02 4.413761727688786777e+03 7.068020594965674718e+03 1.083481121281464584e+04 1.295331006864988558e+04 6.949336384439359335e+02 8.035386155606407783e+02
5.807971256735403043e-02 4.205656626506024622e+03 7.763222891566265389e+03 4.902620481927710898e+02 4.274197934595525112e+03 6.519779690189328903e+03 1.018333734939759051e+04 1.189996299483648909e+04 6.541085413080895705e+02 7.391933089500861342e+02
6.422094742881356844e-02 4.032967967599410713e+03 7.334692194403534813e+03 4.605196060382916130e+02 4.048977172312223956e+03 6.238226804123711190e+03 9.414120765832105462e+03 1.138430559646539041e+04 6.037147919734903780e+02 6.997597109720176149e+02
7.029194303550849454e-02 3.176425245098039341e+03 5.666163602941176578e+03 3.581157322303921546e+02 3.307171875000000000e+03 4.965000306372548948e+03 7.584678308823529733e+03 8.990157475490195793e+03 4.857472809436274588e+02 5.551393995098038658e+02
7.656976085866129544e-02 3.435185412573673602e+03 6.090988212180745904e+03 3.853325147347740653e+02 3.615425343811394669e+03 5.067886051080549805e+03 7.976153241650294149e+03 9.091928290766207283e+03 5.155545186640471229e+02 5.561662573673869474e+02
8.283279975513359317e-02 2.821503463203463070e+03 4.954572727272727207e+03 3.083389880952381077e+02 2.995517532467532419e+03 4.267341558441558846e+03 6.628197402597402288e+03 7.641762770562770129e+03 4.255467532467532692e+02 4.597826839826839773e+02
8.886264192081894109e-02 2.498534612341772117e+03 4.366109968354430748e+03 2.686109325553797476e+02 2.622899327531645667e+03 3.851328322784810098e+03 5.652683148734176939e+03 7.028919303797468274e+03 3.603731952136075734e+02 4.169345332278480782e+02
9.493524398572131262e-02 2.151011897001303623e+03 3.739361147327249000e+03 2.316672710234680608e+02 2.349515808344197922e+03 3.372507170795306138e+03 5.030346153846153356e+03 6.163104954367666323e+03 3.210493195893089933e+02 3.653227672750977604e+02
1.010510809291368245e-01 1.901841500302480426e+03 3.243223835450695788e+03 2.004527563520871354e+02 2.105452661826981512e+03 3.066165154264972898e+03 4.413229582577132533e+03 5.545302480338778878e+03 2.800269396551724412e+02 3.301335072595281304e+02
1.071918355362574127e-01 1.846885104219623827e+03 3.149905693950177920e+03 1.927047693187595314e+02 2.097302999491611445e+03 2.804151499745805722e+03 4.321434163701067519e+03 5.060449923741738530e+03 2.740174440772750586e+02 2.959153851042196379e+02
1.133640700251744293e-01 1.650111462728551487e+03 2.794989920300046833e+03 1.685945997421472100e+02 1.938870721987810612e+03 2.594083919362400593e+03 3.970473980309423496e+03 4.749401312705110286e+03 2.495524203000468901e+02 2.732969995311767661e+02
1.195184611122857843e-01 1.623872757613683689e+03 2.721227158948685883e+03 1.641466416353775628e+02 1.883353984146850280e+03 2.522306007509386745e+03 3.837496871088861099e+03 4.620261576971213799e+03 2.412062473925740562e+02 2.614195348352106976e+02
1.256657517103361710e-01 1.494848292220113763e+03 2.508602087286527421e+03 1.497240749525616650e+02 1.774034155597722929e+03 2.318961859582542729e+03 3.589773055028462750e+03 4.224255028462997871e+03 2.246820920303605362e+02 2.373395872865275180e+02
1.317871926578333408e-01 1.453712721584984365e+03 2.377609662843239676e+03 1.416602363573166485e+02 1.736113486270420708e+03 2.256129822732012599e+03 3.415506082725060878e+03 4.090077511296489320e+03 2.149782542579075368e+02 2.243906195689954757e+02
1.378887696062481294e-01 1.367955863808322874e+03 2.253617118537200440e+03 1.327323061160151383e+02 1.639063997477931935e+03 2.089083228247162879e+03 3.242071563682219221e+03 3.827851513240857457e+03 2.015256147540983704e+02 2.069428593947036461e+02
1.440612672229828750e-01 1.295481608212147194e+03 2.061551753635586010e+03 1.218072872112917082e+02 1.609032363843741223e+03 1.965142429426860645e+03 3.145021100655831560e+03 3.486080125463359309e+03 1.961946285999429733e+02 1.912983319076133739e+02
1.501845201433902877e-01 1.125365426398696172e+03 1.790521863117870453e+03 1.053368159288430093e+02 1.451491988049972633e+03 1.758963878326996110e+03 2.815859587180879771e+03 3.177390548614882846e+03 1.747606599674089978e+02 1.709671034763715340e+02
1.563418093457785985e-01 1.064711973339680981e+03 1.672690311830516521e+03 9.750716347298262576e+01 1.393820042846941305e+03 1.605218162342299365e+03 2.701086646036657839e+03 2.889947155439181188e+03 1.654779665555820145e+02 1.532670643894310842e+02
1.625438955957596576e-01 9.692230487525749822e+02 1.511976882581826430e+03 8.762228913939117092e+01 1.314216754406042583e+03 1.504118677042801664e+03 2.530988097962920619e+03 2.698965438315403844e+03 1.543390363927672126e+02 1.425120021744106111e+02
1.686940235306336466e-01 9.279593588417786805e+02 1.425074974146845761e+03 8.319072518097208047e+01 1.269347776628748761e+03 1.415770734229575964e+03 2.436265977249224306e+03 2.513955739400206767e+03 1.482242502585315265e+02 1.311923862461220267e+02
1.747987378343396903e-01 8.507561740890687361e+02 1.294844028340080968e+03 7.332302631578947683e+01 1.195041801619433045e+03 1.324507388663967504e+03 2.291632995951416888e+03 2.364508299595141580e+03 1.368020495951416819e+02 1.226809210526315752e+02
1.809057159377772395e-01 8.110946990116801771e+02 1.252366127583108664e+03 7.053407457322551011e+01 1.152238903863432142e+03 1.267841419586702614e+03 2.239719496855345824e+03 2.314580233602875069e+03 1.327931266846361211e+02 1.163227201257861623e+02
1.870079494254630881e-01 7.772936842105262940e+02 1.186601754385964796e+03 6.588338815789472847e+01 1.125298245614035068e+03 1.205449122807017375e+03 2.160990526315789339e+03 2.212808947368420831e+03 1.274212390350877087e+02 1.086940570175438552e+02
1.931644028143169878e-01 7.487364408111932335e+02 1.112607766074516576e+03 6.234347488602421095e+01 1.104772834459990690e+03 1.180024288633862625e+03 2.120360320704292008e+03 2.111757899701305178e+03 1.238603600062883316e+02 1.053897480742021742e+02
1.993257601852206906e-01 6.992834472285497895e+02 1.048317767653758665e+03 5.685268602885345501e+01 1.061445330296127622e+03 1.093828094153378970e+03 2.018596203492786799e+03 2.017917539863325828e+03 1.174985763097949985e+02 9.601668564920274207e+01
