# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 5.305413461538461888e+03 7.026247596153846644e+03 1.229485501802884755e+03 1.702274639423076906e+03 2.438673798076923049e+04 2.197405799278846189e+03 3.166444230769230853e+04 3.836011493389423208e+02 5.555979567307692378e+03
1.503254434404273886e-02 8.116428819444444343e+03 9.126194444444443434e+03 1.596233506944444343e+03 5.623952256944444343e+03 2.090810763888888687e+04 6.321397569444444343e+03 2.411289583333333212e+04 1.096958333333333258e+03 4.239139322916666060e+03
2.104537904654678673e-02 9.279574835526314928e+03 1.063167023026315655e+04 1.835351562500000000e+03 6.138031250000000000e+03 2.023110690789473665e+04 7.195838815789473301e+03 2.311805427631578641e+04 1.244751336348684163e+03 3.992711348684210407e+03
2.718418752217394846e-02 7.913369658119659107e+03 9.391277777777779193e+03 1.632050747863248034e+03 6.458071581196581974e+03 1.475544337606837689e+04 7.802299145299146403e+03 1.736164636752137085e+04 1.346340811965812009e+03 3.031409989316239717e+03
3.359305548768203725e-02 1.373381850961538476e+04 1.434932331730769329e+04 2.496540715144230944e+03 1.365370072115384755e+04 1.806176923076923049e+04 1.440857812500000000e+04 1.979568389423076951e+04 2.504261117788461888e+03 3.450061298076923322e+03
3.967812110980351720e-02 1.133851145833333248e+04 1.234267708333333394e+04 2.126619791666666515e+03 1.207490208333333248e+04 1.370081250000000000e+04 1.324204166666666606e+04 1.595317291666666642e+04 2.286061458333333121e+03 2.732241145833333121e+03
4.573133090443888549e-02 1.126439265927977794e+04 1.218163850415512388e+04 2.084843317174515050e+03 1.245847229916897595e+04 1.226698060941828226e+04 1.363373961218836484e+04 1.407315650969529088e+04 2.359815789473684163e+03 2.383674515235456965e+03
5.186912300623527233e-02 1.057978947368420995e+04 1.163337070938215038e+04 1.988493707093821513e+03 1.175196796338672721e+04 1.118521167048054849e+04 1.313805720823798583e+04 1.295331121281464584e+04 2.272562500000000000e+03 2.166612986270022702e+03
5.807971256735403043e-02 9.655358864027539312e+03 1.058283820998278861e+04 1.810722891566265162e+03 1.062645869191049860e+04 1.029425301204819334e+04 1.178083046471600755e+04 1.189996213425129099e+04 2.045549483648881278e+03 2.000890275387263500e+03
6.422094742881356844e-02 9.674757731958763543e+03 1.061364212076583135e+04 1.804412739322533071e+03 1.078140132547864414e+04 9.894050073637701644e+03 1.203185861561119236e+04 1.138430633284241594e+04 2.083140648011782105e+03 1.889122238586156072e+03
7.029194303550849454e-02 7.652634803921568164e+03 8.293900122549019216e+03 1.424097426470588289e+03 8.494863357843136328e+03 7.891020833333333030e+03 9.434693627450980784e+03 8.990157475490195793e+03 1.640644454656862763e+03 1.506362285539215691e+03
7.656976085866129544e-02 7.995973968565815085e+03 8.578785854616895449e+03 1.470025171905697334e+03 8.927575638506876203e+03 8.054883104125736281e+03 9.757517681728879325e+03 9.091929273084479064e+03 1.707303290766208193e+03 1.505094056974459590e+03
8.283279975513359317e-02 6.791553246753246640e+03 7.381285714285714675e+03 1.245741774891774867e+03 7.693922943722943273e+03 6.751396969696969791e+03 8.605283982683982686e+03 7.641762770562770129e+03 1.494169480519480430e+03 1.242730735930735818e+03
8.886264192081894109e-02 6.001054588607595178e+03 6.633858386075949056e+03 1.109476166930379804e+03 6.681833069620252900e+03 6.066170490506328861e+03 7.576058544303797134e+03 7.028919303797468274e+03 1.307129252373417785e+03 1.126098299050632932e+03
9.493524398572131262e-02 5.381012059973923897e+03 5.907710560625814651e+03 9.946583279009125818e+02 6.029409387222945952e+03 5.382292046936114275e+03 6.848847457627118274e+03 6.163104954367666323e+03 1.186093872229465433e+03 9.892270208604953723e+02
1.010510809291368245e-01 4.846614942528735810e+03 5.284180278281912251e+03 8.944692226255293690e+02 5.412310344827586960e+03 4.878703569267998319e+03 6.186301270417423439e+03 5.545301875378100704e+03 1.068193511796733219e+03 8.955936176648518767e+02
1.071918355362574127e-01 4.448626842907981882e+03 4.827569395017793795e+03 8.062085663446873696e+02 4.992935943060498175e+03 4.470646670055923096e+03 5.664770716827656543e+03 5.060449415353329641e+03 9.813353457041179126e+02 8.027623919674631452e+02
1.133640700251744293e-01 4.072113455227379291e+03 4.485156586966713803e+03 7.394387599624941458e+02 4.586508673230192471e+03 4.105437880918893825e+03 5.281877637130802214e+03 4.749401312705110286e+03 9.043705461790905247e+02 7.365829231129864638e+02
1.195184611122857843e-01 3.986884438881935694e+03 4.376981226533166591e+03 7.151726637463495990e+02 4.470546099290780148e+03 4.002915727993324708e+03 5.149561118064247239e+03 4.620261576971213799e+03 8.802489570296203283e+02 7.066914372131831215e+02
1.256657517103361710e-01 3.677872106261859699e+03 4.010959392789373851e+03 6.569487191650854356e+02 4.155119165085388886e+03 3.697661859582542547e+03 4.833868311195446040e+03 4.224255028462997871e+03 8.253480075901328519e+02 6.439179791271346858e+02
1.317871926578333408e-01 3.547574556830031270e+03 3.904339589850538687e+03 6.273148244699340239e+02 3.983805700382342820e+03 3.550412930135557872e+03 4.661777198470629628e+03 4.090077511296489320e+03 7.917250608272506724e+02 6.054850104275286640e+02
1.378887696062481294e-01 3.295111601513240657e+03 3.657395018915510718e+03 5.820739281210592253e+02 3.717942938209331714e+03 3.294443253467843533e+03 4.417453656998738552e+03 3.827851197982345639e+03 7.440689627994955799e+02 5.583091503783101643e+02
1.440612672229828750e-01 3.147386370116909347e+03 3.356031936127744757e+03 5.431238594240091970e+02 3.566289706301682600e+03 3.134187909894496897e+03 4.114785856857713043e+03 3.486080125463359309e+03 7.011222554890219953e+02 5.218723980610208173e+02
1.501845201433902877e-01 2.776858229223248145e+03 3.005290602933187984e+03 4.798975420966865499e+02 3.173432645301466437e+03 2.788660782183595529e+03 3.741501901140683913e+03 3.177390548614882846e+03 6.308602661596958114e+02 4.639003938077131579e+02
1.563418093457785985e-01 2.561489407283980199e+03 2.726981671030706821e+03 4.350182694596524584e+02 2.930188050464175376e+03 2.573750059509640778e+03 3.457104736967388817e+03 2.889947155439181188e+03 5.806626398476553277e+02 4.184779814329921237e+02
1.625438955957596576e-01 2.409067063401235828e+03 2.565179674982833603e+03 4.063140878919661532e+02 2.769355458915083545e+03 2.414332570382238373e+03 3.315389791714351304e+03 2.698965438315403844e+03 5.520563630121308734e+02 3.879774261844816010e+02
1.686940235306336466e-01 2.272598552223371371e+03 2.374994208893484938e+03 3.744013185108582888e+02 2.614528645294725720e+03 2.286486866597724656e+03 3.097357600827300757e+03 2.513955739400206767e+03 5.144875387797311532e+02 3.587408479834539889e+02
1.747987378343396903e-01 2.105967206477732816e+03 2.196564574898785395e+03 3.444123734817813443e+02 2.418446356275303515e+03 2.145024291497975810e+03 2.917598582995951347e+03 2.364508299595141580e+03 4.789874999999999545e+02 3.354049595141700024e+02
1.809057159377772395e-01 1.994516442048517547e+03 2.158849595687331657e+03 3.267850404312668502e+02 2.284948427672955859e+03 2.032042407906558765e+03 2.844146630727762840e+03 2.314580233602875069e+03 4.577150494159928371e+02 3.154769541778975963e+02
1.870079494254630881e-01 1.888917719298245402e+03 2.006577543859649040e+03 3.035223684210525903e+02 2.176983859649122678e+03 1.935268421052631538e+03 2.659870701754385664e+03 2.212809122807017502e+03 4.304942105263157828e+02 2.951912061403508574e+02
1.931644028143169878e-01 1.858172928784782471e+03 1.949240999842792235e+03 2.973351281245087421e+02 2.145767174972488647e+03 1.894664518157522480e+03 2.658909605407955041e+03 2.111757899701305178e+03 4.264802703977362057e+02 2.869898207828957766e+02
1.993257601852206906e-01 1.714058010630220224e+03 1.839637053910402528e+03 2.701136294608959929e+02 1.984645406226271916e+03 1.747139711465451910e+03 2.504594229309035654e+03 2.017917539863325828e+03 3.949151860288534976e+02 2.603884965831435352e+02
2.054762598507901550e-01 1.676513041026364135e+03 1.772483857324122482e+03 2.587256097560975832e+02 1.943548287043564187e+03 1.712831665021852587e+03 2.466727477795009236e+03 1.937086705202312260e+03 3.840855420837445422e+02 2.478193994078669391e+02
2.116257382464896697e-01 1.541816820430538883e+03 1.583073405535499433e+03 2.340811438695012896e+02 1.808045460623078043e+03 1.579222890760797100e+03 2.248422516379195258e+03 1.769727904800107126e+03 3.535101952132638417e+02 2.261947787137318073e+02
