# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 4.591026271765049000e-05 3.166444230769230853e+04 5.555979567307692378e+03 8.189242553311095958e-12 2.438673798076923049e+04 3.166444230769230853e+04 3.166444230769230853e+04 5.555979567307692378e+03 5.555979567307692378e+03
1.503254434404273886e-02 -9.959006112896732609e-05 2.411289583333333212e+04 4.239139322916666060e+03 9.782133436608830834e-12 2.090810763888888687e+04 2.411289583333333212e+04 2.411289583333333212e+04 4.239139322916666060e+03 4.239139322916666060e+03
2.104537904654678673e-02 -5.397704233856577408e-05 2.311805427631578641e+04 3.992711348684210407e+03 8.687983811904661072e-12 2.023110690789473665e+04 2.311805427631578641e+04 2.311805427631578641e+04 3.992711348684210407e+03 3.992711348684210407e+03
2.718418752217394846e-02 -2.819405566168646681e-05 1.736164636752137085e+04 3.031409989316239717e+03 7.986078085630742605e-12 1.475544337606837689e+04 1.736164636752137085e+04 1.736164636752137085e+04 3.031409989316239717e+03 3.031409989316239717e+03
3.359305548768203725e-02 4.876204326923077133e+03 1.979568389423076951e+04 3.450061298076923322e+03 4.946423677884615245e+03 1.806176923076923049e+04 1.979568389423076951e+04 1.979568389423076951e+04 3.450061298076923322e+03 3.450061298076923322e+03
3.967812110980351720e-02 5.094527604166666606e+03 1.595317291666666642e+04 2.732241145833333121e+03 5.202722916666666606e+03 1.370081250000000000e+04 1.595317291666666642e+04 1.595317291666666642e+04 2.732241145833333121e+03 2.732241145833333121e+03
4.573133090443888549e-02 6.583022853185595523e+03 1.407315650969529088e+04 2.383674515235456965e+03 6.695620498614958706e+03 1.226698060941828226e+04 1.407315650969529088e+04 1.407315650969529088e+04 2.383674515235456965e+03 2.383674515235456965e+03
5.186912300623527233e-02 6.610081235697940429e+03 1.295331121281464584e+04 2.166612986270022702e+03 6.728462242562928623e+03 1.118521167048054849e+04 1.295331121281464584e+04 1.295331121281464584e+04 2.166612986270022702e+03 2.166612986270022702e+03
5.807971256735403043e-02 6.198742685025817991e+03 1.189996213425129099e+04 2.000890275387263500e+03 6.338012478485370593e+03 1.029425301204819334e+04 1.189996213425129099e+04 1.189996213425129099e+04 2.000890275387263500e+03 2.000890275387263500e+03
6.422094742881356844e-02 6.798379234167893628e+03 1.138430633284241594e+04 1.889122238586156072e+03 6.954854197349042806e+03 9.894050073637701644e+03 1.138430633284241594e+04 1.138430633284241594e+04 1.889122238586156072e+03 1.889122238586156072e+03
7.029194303550849454e-02 5.395080882352941444e+03 8.990157475490195793e+03 1.506362285539215691e+03 5.562006127450979875e+03 7.891020833333333030e+03 8.990157475490195793e+03 8.990157475490195793e+03 1.506362285539215691e+03 1.506362285539215691e+03
7.656976085866129544e-02 5.901262278978388167e+03 9.091929273084479064e+03 1.505094056974459590e+03 6.089801080550098050e+03 8.054883104125736281e+03 9.091929273084479064e+03 9.091929273084479064e+03 1.505094056974459590e+03 1.505094056974459590e+03
8.283279975513359317e-02 5.237880086580086754e+03 7.641762770562770129e+03 1.242730735930735818e+03 5.413971428571428987e+03 6.751396969696969791e+03 7.641762770562770129e+03 7.641762770562770129e+03 1.242730735930735818e+03 1.242730735930735818e+03
8.886264192081894109e-02 4.563937104430379804e+03 7.028919303797468274e+03 1.126098299050632932e+03 4.724724683544303844e+03 6.066170490506328861e+03 7.028919303797468274e+03 7.028919303797468274e+03 1.126098299050632932e+03 1.126098299050632932e+03
9.493524398572131262e-02 4.261086375488917838e+03 6.163104954367666323e+03 9.892270208604953723e+02 4.424002607561929835e+03 5.382292046936114275e+03 6.163104954367666323e+03 6.163104954367666323e+03 9.892270208604953723e+02 9.892270208604953723e+02
1.010510809291368245e-01 3.909372353297036170e+03 5.545301875378100704e+03 8.955936176648518767e+02 4.065463097398669561e+03 4.878703569267998319e+03 5.545301875378100704e+03 5.545301875378100704e+03 8.955936176648518767e+02 8.955936176648518767e+02
1.071918355362574127e-01 3.619214031520081335e+03 5.060449415353329641e+03 8.027623919674631452e+02 3.781994407727504040e+03 4.470646670055923096e+03 5.060449415353329641e+03 5.060449415353329641e+03 8.027623919674631452e+02 8.027623919674631452e+02
